about-page-0.1.1	husaynhakeem/com/aboutpage
aboutlibraries-6.0.8	com/mikepenz/aboutlibraries
aboutlibraries-8.3.0	com/mikepenz/aboutlibraries
aboutlibraries-8.9.0	com/mikepenz/aboutlibraries
acra-4.11	org/acra
acra-4.9.0	org/acra
acra-4.9.1	org/acra
acra-core-5.2.1	org/acra
acra-core-5.7.0	org/acra
acra-dialog-5.7.0	org/acra
acra-http-5.2.1	org/acra
acra-http-5.8.4	org/acra
acra-mail-5.7.0	org/acra
acra-notification-5.8.4	org/acra
acra-toast-5.2.1	org/acra
actionitembadge-3.1.9	com/mikepenz/actionitembadge/library
actionitembadge-4.0.0	com/mikepenz/actionitembadge/library
adapter-rxjava-2-2.9.0	retrofit2/adapter/rxjava2
adapter-rxjava-3-2.9.0	retrofit2/adapter/rxjava3
adapterdelegates3-3.0.1	com/hannesdorfmann/adapterdelegates3
advrecyclerview-0.11.0	com/h6ah4i/android/widget/advrecyclerview
advrecyclerview-1.0.0	com/h6ah4i/android/widget/advrecyclerview
aFileDialog-1.0.6	ar/com/daidalos/afiledialog
ahbottomnavigation-2.1.0	com/aurelhubert/ahbottomnavigation
android-about-page-1.2.5	mehdi/sakout/aboutpage
android-database-sqlcipher-4.4.3	net/sqlcipher/database
android-drawable-0.5.1	app/redwarp/gif/android
android-driver-1.4.4	com/squareup/sqldelight/android
android-gif-drawable-1.2.15	pl/droidsonroids/gif
android-gif-drawable-1.2.20	pl/droidsonroids/gif
android-image-cropper-2.7.0	com/theartofdev/edmodo/cropper
android-image-cropper-2.8.0	com/theartofdev/edmodo/cropper
android-job-1.2.6	com/evernote/android/job
android-morphing-button-98a4986e56	com/dd/morphingbutton
android-observablescrollview-1.6.0	com/github/ksoichiro/android/observablescrollview
android-phone-field-0.2.3	com/github/ialokim/phonefield
android-retrostreams-1.7.1	java9/util
Android-SingleSignOn-0.5.1	com/nextcloud/android/sso
android-state-1.4.1	com/evernote/android/state
android-transcoder-0.3.0	net/ypresto/androidtranscoder
android.joda-2.9.9.4	net/danlew/android/joda
animated-progress-1.0	com/anthonycr/progress
animated-webp-2.3.0	com/facebook/animated/webp
annotations-java5-15.0	org/intellij/lang/annotations
annotations-java5-20.1.0	org/intellij/lang/annotations
apache-mime4j-core-0.7.2	org/apache/james/mime4j
apache-mime4j-storage-0.7.2	org/apache/james/mime4j/storage
app-theme-helper-1.3.10	com/kabouzeid/appthemehelper
AppIntro-4.2.3	com/github/paolorotolo/appintro
AppIntro-5.1.0	com/github/paolorotolo/appintro
AppIntro-6.0.0	com/github/appintro
appmsg-1.2.0	com/devspark/appmsg
AppUpdater-2.7	com/github/javiersantos/appupdater
attoparser-2.0.5.RELEASE	org/attoparser
autodispose-android-archcomponents-1.4.0	com/uber/autodispose
autofittextview-0.2.1	me/grantland/widget
balloon-1.3.4	com/skydoves/balloon
balloon-1.3.5	com/skydoves/balloon
BigImageViewer-1.8.0	com/github/piasy/biv
bonsai-1.1.0	com/anthonycr/bonsai
BottomNavigationViewEx-2.0.2	com/ittianyu/bottomnavigationviewex
butterknife-10.0.0	butterknife
butterknife-10.2.0	butterknife
butterknife-10.2.1	butterknife
butterknife-10.2.3	butterknife
butterknife-7.0.1	butterknife
butterknife-8.5.1	butterknife
butterknife-8.8.0	butterknife
butterknife-8.8.1	butterknife
CameraView-1.9.1	de/markusfisch/android/cameraview/widget
Chameleon-0.9.28	org/mariotaku/chameleon
ChocoBar-1.2	com/pd/chocobar
circleimageview-2.0.0	de/hdodenhof/circleimageview
circleimageview-3.0.1	de/hdodenhof/circleimageview
circleimageview-3.1.0	de/hdodenhof/circleimageview
circleindicator-1.2.0	me/relex/circleindicator
ckchangelog-1.2.2	de/cketti/library/changelog
client-0.8	net/i2p
client-0.9.45	net/i2p
code-scanner-2.1.0	com/budiyev/android/codescanner
CodeEditor-1.0.17	com/github/ahmadaghazadeh/editor
coil-0.13.0	coil
coil-1.1.1	coil
coil-1.3.2	coil
coil-gif-1.3.2	coil
color-3.3.0	com/afollestad/materialdialogs/color
color-picker-view-1.4.0	com/github/danielnilsson9/colorpickerview
colorpicker-1.0.2	com/jaredrummler/android/colorpicker
colorpicker-1.1.0	com/jaredrummler/android/colorpicker
com.afollestad.materialdialogs.bottomsheets-3.3.0	com/afollestad/materialdialogs
com.afollestad.materialdialogs.commons-0.9.6.0	com/afollestad/materialdialogs
com.afollestad.materialdialogs.commons-0.8.6.2	com/afollestad/materialdialogs
com.afollestad.materialdialogs.core-0.9.4.5	com/afollestad/materialdialogs
com.afollestad.materialdialogs.core-0.9.6.0	com/afollestad/materialdialogs
com.afollestad.materialdialogs.core-0.8.6.2	com/afollestad/materialdialogs
com.afollestad.materialdialogs.core-3.3.0	com/afollestad/materialdialogs
com.daimajia.slider.library-1.1.5	com/daimajia/slider
com.davemorrissey.labs.layouts-0.4.5	com/commonsware/cwac/layouts
com.github.amlcurran.showcaseview.library-5.4.3	com/github/amlcurran/showcaseview
com.github.axet.androidlibrary-1.33.14	com/github/axet/androidlibrary
com.github.einmalfel.earl-1.1.0	com/einmalfel/earl
com.github.mariotaku.DragSortListView-0.6.1	com/mobeta/android/dslv
com.github.QuadFlask.colorpicker-0.0.15	com/flask/colorpicker
com.github.topjohnwu.core-3.1.2	com/topjohnwu
com.google.android.play.core-1.10.0	com/google/android/play/core
com.google.zxing.core-3.2.1	com/google/zxing
com.google.zxing.core-3.3.2	com/google/zxing
com.google.zxing.core-3.3.3	com/google/zxing
com.google.zxing.core-3.4.0	com/google/zxing
com.nineoldandroids.library-2.4.0	com/nineoldandroids
com.rengwuxian.materialedittext.library-2.1.4	com/rengwuxian/materialedittext
com.timehop.stickyheadersrecyclerview.library-0.4.3	com/timehop/stickyheadersrecyclerview
commonmark-0.11.0	org/commonmark
commons-codec-1.10	org/apache/commons/codec
commons-compress-1.19	org/apache/commons/compress
commons-csv-1.5	org/apache/commons/csv
commons-csv-1.7	org/apache/commons/csv
commons-csv-1.8	org/apache/commons/csv
commons-imaging-1.0-alpha2	org/apache/commons/imaging
commons-io-2.4	org/apache/commons/io
commons-io-2.5	org/apache/commons/io
commons-io-2.6	org/apache/commons/io
commons-io-2.8.0	org/apache/commons/io
commons-lang3-3.10	org/apache/commons/lang3
commons-lang3-3.12.0	org/apache/commons/lang3
commons-lang3-3.7	org/apache/commons/lang3
commons-lang3-3.9	org/apache/commons/lang3
commons-net-3.6	org/apache/commons/net
commons-text-1.7	org/apache/commons/text
commons-text-1.8	org/apache/commons/text
commons-validator-1.6	org/apache/commons/validator
conscrypt-android-2.5.1	org/conscrypt
converter-gson-2.4.0	retrofit2/converter/gson
converter-gson-2.5.0	retrofit2/converter/gson
converter-gson-2.9.0	retrofit2/converter/gson
converter-moshi-2.6.4	retrofit2/converter/moshi
converter-moshi-2.9.0	retrofit2/converter/moshi
converter-scalars-2.6.2	retrofit1/converter/scalars
converter-scalars-2.9.0	retrofit2/converter/scalars
converter-simplexml-2.4.0	retrofit2/converter/simplexml
corbind-appcompat-1.4.0	ru/ldralighieri/corbind/appcompat
corbind-core-1.4.0	ru/ldralighieri/corbind/core
corbind-swiperefreshlayout-1.4.0	ru/ldralighieri/corbind/swiperefreshlayout
coronastats-1.5	com/asdoi/corona
crashreporter-1.0	com/manimaran/crash_reporter
customtabs-23.4.0	android/support/customtabs
customtabs-3.0.2	android/support/customtabs
dagger-2.21	dagger
dagger-2.26	dagger
dagger-2.29	dagger
dagger-2.30.1	dagger
dagger-2.32	dagger
dagger-2.37	dagger
dagger-android-2.21	dagger
dagger-android-2.30.1	dagger
dagger-android-support-2.30.1	dagger
de.westnordost.osmapi-3.3	de/westnordost/osmapi
decoder-0.5.1	app/redwarp/gif/decoder
dexter-6.0.0	com/karumi/dexter
djvulibre-0.1.4	com/github/axet/djvulibre
dnsjava-3.2.2	org/xbill/DNS
dnsjava-3.3.1	org/xbill/DNS
donut-2.1.0	app/futured/donut
download-1.3.10	com/huxq17/download
draglistview-1.7.2	com/woxthebox/draglistview
dropbox-core-sdk-3.0.8	com/dropbox/core
durationformatter-0.1.1	com/github/pfichtner/durationformatter
edge-to-edge-0.10	de/halfbit/edgetoedge
editorkit-1.1.0	com/brackeys/ui/editorkit
emojicon-1.4.2	io/github/rockerhieu/emojicon
epoxy-4.3.1	com/airbnb/epoxy
epublib-core-3.1	nl/siegmann/epublib/epub
eventbus-2.4.0	de/greenrobot/event
eventbus-3.0.0	org/greenrobot/eventbus
eventbus-3.2.0	org/greenrobot/eventbus
exoplayer-2.13.2	com/google/android/exoplayer2
exoplayer-2.14.1	com/google/android/exoplayer2
exoplayer-2.15.0	com/google/android/exoplayer2
exoplayer-core-2.10.4	com/google/android/exoplayer2
exoplayer-dash-2.10.4	com/google/android/exoplayer2/source/dash
exoplayer-dash-2.13.3	com/google/android/exoplayer2/source/dash
exoplayer-dash-2.14.1	com/google/android/exoplayer2/source/dash
exoplayer-dash-2.15.0	com/google/android/exoplayer3/source/dash
exoplayer-hls-2.12.0	com/google/android/exoplayer2/source/hls
exoplayer-hls-2.14.1	com/google/android/exoplayer2/source/hls
exoplayer-hls-2.15.0	com/google/android/exoplayer3/source/hls
exoplayer-smoothstreaming-2.10.4	com/google/android/exoplayer2
exoplayer-ui-2.10.4	com/google/android/exoplayer2/ui
exoplayer-ui-2.12.0	com/google/android/exoplayer2/ui
exoplayer-ui-2.13.2	com/google/android/exoplayer2/ui
exoplayer-ui-2.13.3	com/google/android/exoplayer2/ui
exoplayer-ui-2.14.1	com/google/android/exoplayer2/ui
exoplayer-ui-2.15.0	com/google/android/exoplayer2/ui
expandablelayout-2.9.2	net/cachapa/expandablelayout
expandablerecyclerview-3.0.0-RC1	com/bignerdranch/expandablerecyclerview
extendedtouchview-0.1.1	com/lnikkila/extendedtouchview
extension-mediasession-2.12.0	com/google/android/exoplayer2/ext/mediasession
extension-mediasession-2.14.1	com/google/android/exoplayer2/ext/mediasession
extension-mediasession-2.15.0	com/google/android/exoplayer2/ext/mediasession
extension-okhttp-2.12.0	com/google/android/exoplayer2/ext/okhttp
extension-okhttp-2.13.2	com/google/android/exoplayer2/ext/okhttp
extension-okhttp-2.15.0	com/google/android/exoplayer2/ext/okhttp
ExtraCompats-1.0	org/ligi/compat
fab-1.6.2	com/github/clans/fab
fab-1.6.4	com/github/clans/fab
facebook-android-sdk-4.6.0	com/facebook
fastadapter-2.6.2	com/mikepenz/fastadapter
fastadapter-3.2.9	com/mikepenz/fastadapter
fastadapter-4.1.2	com/mikepenz/fastadapter
fastadapter-5.3.2	com/mikepenz/fastadapter
fastadapter-commons-2.6.3	com/mikepenz/fastadapter/commons
fastadapter-commons-3.2.9	com/mikepenz/fastadapter/commons
fastadapter-extensions-3.2.9	com/mikepenz/fastadapter_extensions
fastadapter-extensions-diff-5.3.2	com/mikepenz/fastadapter/diff
fastadapter-extensions-scroll-5.3.2	com/mikepenz/fastadapter/scroll
fastadapter-extensions-ui-5.3.2	com/mikepenz/fastadapter/ui
fastadapter-extensions-utils-5.3.2	com/mikepenz/fastadapter
fastjson-1.2.11	com/alibaba/fastjson
ferriswheel-1.2	ru/github/igla/ferriswheel
filemojicompat-1.0.17	de/c1710/filemojicompat
filepicker-1.1.1	com/github/angads25/filepicker
filepicker-4.2.1	com/nononsenseapps/filepicker
finestwebview-1.2.7	com/thefinestartist/finestwebview
firebase-ads-18.3.0	com/google/firebase
firebase-analytics-17.2.1	com/google/firebase
flexible-adapter-5.1.0	eu/davidea
folderpicker-2.4	lib/folderpicker
fresco-2.3.0	com/facebook/drawee/backends/pipeline
fuel-2.1.0	com/github/kittinunf/fuel
fuel-2.2.3	com/github/kittinunf/fuel
fuel-2.3.0	com/github/kittinunf/fuel
fuel-android-2.1.0	com/github/kittinunf/fuel/android/util
fuel-coroutines-2.2.3	com/github/kittinunf/fuel/coroutines
fuzzywuzzy-1.1.9	me/xdrop
gesture-views-2.8.2	com/alexvasilkov/gestures
glide-3.7.0	com/bumptech/glide
